	name
186	Black Eagle
187	Black Flash
188	Black Hand
189	Black Knight III
190	Black Lightning (CW)
191	Black Lightning
192	Black Mamba
193	Black Manta (DCEU)
194	Black Manta
195	Black Panther (1,000,000 B.C.)
196	Black Siren (CW)
197	Black Spider
198	Blackwing
199	Blackwulf
200	Blade
201	Blight
202	Bling!
203	Blink
204	Blizzard II
205	Blizzard Samurai
206	Blizzard
207	Blob (FOX)
208	Blob
209	Blockbuster
210	Bloodaxe
211	Bloodhawk
212	Bloodwraith
213	Blue Beetle II
214	Blue Beetle III
215	Blue Beetle (Injustice)
216	Bolobo
217	Bomb Queen
218	Bookworm
219	Boom-Boom
220	Booster Gold
221	Bor Burison
222	Box III
223	Box IV
224	Brainiac 5 (CW)
225	Brainiac 5
226	Brainiac
227	Brickster
228	Brother Voodoo
229	Bruce Banner (Wild West)
230	Brundlefly
231	Bryan Mills
232	Buffy
233	Bullseye (MCU)
234	Bullseye (Wild West)
235	Bullseye
236	Bumblebee
237	Bumbleboy
238	Buri
239	Bushido
240	Bushmaster (MCU)
241	Butterball
242	Cable (FOX)
243	Cable
244	Caesar
245	Caitlin Fairchild
246	Calculator
247	Caliban (FOX)
248	Caliban
249	Callisto
250	Cameron Hicks
251	Cannonball
252	Captain America 2099
253	Captain America (EMH)
254	Captain America (Venomized)
255	Captain America (Wild West)
256	Captain Atom
257	Captain Boomerang (CW)
258	Captain Boomerang (DCEU)
259	Captain Boomerang
260	Captain Britain
261	Captain Cold (CW)
262	Captain Corbett
263	Captain Epic
264	Captain Hindsight
265	Captain Mar-vell
266	Captain Marvel II
267	Captain Metropolis
268	Captain Planet
269	Captain Price
270	Captain Soto
271	Captain Stingaree
272	Captain Universe
273	Castiel
274	Cat
275	Catwoman (Dark Knight)
276	Catwoman (Injustice)
277	Catwoman
278	Caulifla
279	Cecilia Reyes
280	Century
281	Cerebra
282	Chamber
283	
284	Champion Of The Universe
285	Changeling
286	Cheetah II
287	Cheetah III
288	Cheetah
289	Cheshire
290	Chewtoy
291	Chipmunk Hunk
292	Chope
293	Chop'rai
294	Chosen Undead
295	Chroma
296	Chromos
297	Chuck Norris
298	Citizen Steel (CW)
299	Citizen Steel
300	Claire Bennet
301	Clea
302	Cloak
303	Clock King
304	Cloud 9
305	Cogliostro
306	Cole (The LEGO Ninjago Movie)
307	Cole
308	Colin Wagner
309	Collector
310	Colleen Wing (MCU)
311	Colossus (FOX)
312	Colossus
313	Commander Blunck
314	Commander Machia
315	Commander Raggmunk
316	Connor Hawke
317	Connor Kenway
318	Constantine (CW)
319	Copperhead
320	Copycat
321	Corsair
322	Corvus Glaive (MCU)
323	Cosmic Hulk
324	Cosmic King Thor
325	Cosmo The Spacedog
326	Cottonmouth
327	Crimson Crusader
328	Crimson Dynamo
329	Crossbones
330	Crystal (MCU)
331	Crystal
332	Cull Obsidian (MCU)
333	Curse
334	Cy-Gor
335	Cyborg (Sonar Suit)
336	Cyborg Superman (CW)
337	Cyborg Superman
338	Cyborg
339	Cyclops (FOX)
340	Cyclops
341	Cypher
342	Cyrus Borg
343	Daddy No Legs
344	Dagger
345	Daken
346	Damage Control
347	Damien Darhk (CW)
348	Danny Cooper
349	Dante
350	Danzō
351	Daphne Powell
352	Daredevil (FOX)
353	Dark Archer (CW)
354	Dark Beast
355	Dark Elf Soldier
356	Dark Kahn
357	Dark Phoenix (Venomized)
358	Darkhawk
359	Darkman
360	Darkstar
361	Darth Maul
362	Darth Nihilus
363	Darth Nox
364	Darwin (FOX)
365	Dash
366	Data
367	David Cain
368	Dazzler
369	Deacons Of The Deep
370	Deadpool
371	Deadshot (CW)
372	Deadshot (Injustice)
373	Deadshot (New 52)
374	Deadshot
375	Dean Winchester
376	Death Of The Endless
377	Death Seed Archangel
378	Death Seed Draken
379	Deathlok (MCU)
380	Deathstroke (Injustice)
381	Deathstroke (New 52)
382	Deathstroke
383	Dementor
384	Demogoblin
385	Desaad
386	Desmond Miles
387	Destroyer (MCU)
388	Destroyer
389	Destruction Of The Endless
390	Detective Chimp
391	Detroit Steel
392	Devastator
393	Devilman
394	Dilara
395	DL Hawkins
396	Doc Green
397	Doc Samson
398	
399	Doctor Double X
400	Doctor Mid-Nite
401	Doctor Occult
402	Doctor Octopus (Shattered Dimensions)
403	Doctor Octopus (SONY)
404	Doctor Octopus
405	Doctor Poison
406	Doctor Sivana
407	Doctor Strange (Classic)
408	Domino (FOX)
409	Domino
410	Donna Troy
411	Doom Slayer
412	Doomguy
413	Doomsday (Hunter Prey)
414	Doomsday
415	Doppelganger
416	Dormammu
417	Doubloon
418	Dove II
419	Dove (Titans)
420	Dr Manhattan
421	Dracula
422	Drax the Destroyer
423	Duela Dent
424	Dum Dum Dugan
425	Ebony Maw (MCU)
426	Echo Zane
427	Ed
428	Edward Elric
429	Edward Kenway
430	Egg Fu
431	Ego (MCU)
432	Ego
433	El Diablo (DCEU)
434	El Diablo
435	Elastigirl
436	Electro (SONY)
437	Electro
438	Elektra (Fox)
439	Elektra (MCU)
440	Elektra
441	Elle Bishop
442	Elongated Man (CW)
443	Elongated Man
444	Emma Frost (FOX)
445	Emma Frost
446	Enchantress (DCEU)
447	Energy
448	Eradicator
449	Erik Killmonger
450	Eru Iluvatar
451	Ethan Hunt
452	Etrigan
453	Evie Frye
454	Evil Deadpool
455	Evil Nya
456	Evilhawk
457	Executioner
458	Exodus
459	Ezio Auditore da Firenze
460	Fabian Cortez
461	Faceless Man
462	Falcon
463	Fallen One II
464	Fandral (MCU)
465	Fandral
466	Fangtom
467	Fëanor
468	Faora (DCEU)
469	Faora
470	Fatale
471	Felix Faust
472	Fenris (MCU)
473	Feral
474	Fin Fang Foom
475	Fire
476	Firefist (FOX)
477	Firelord
478	Firestar
479	Firestorm (CW)
480	Firestorm II (CW)
481	Firestorm
482	First Spinjitzu Master
483	Fixer
484	Flash (CW)
485	Flash Gordon
486	Flash III
487	Flash (Injustice)
488	Flash IV
489	Flash Thompson
490	Flash
491	Forbush-Man
492	Forge
493	Frank Zhang
494	Franklin Richards
495	Franklin Storm
496	Frenzy
497	Frigga
498	Gaara
499	Gambit
500	Gamora
501	Gandalf The White
502	Gandalf
503	Garbage Man
504	Garmadon (The Lego Ninjago Movie)
505	Gary Bell
506	Gemini V
507	General Cryptor
508	General Kozu
509	General Vex
510	General Zod
511	Geo-Force
512	Ghost (MCU)
513	Ghost Rider 2099
514	Ghost Rider II (MCU)
515	Ghost Rider (King Of Hell)
516	Ghost Rider (SONY)
517	Giant Stone Warrior
518	Giganta
519	Gilotina
520	Gizmo
521	Gladiator
522	Goblin Force
523	Goblin Queen
524	Goku
525	Golden Glider (CW)
526	Golden Master's Mech
527	Golden Ninja
528	Goliath IV
529	Gorilla Girl
530	Gorilla Grodd (CW)
531	GPL
532	Grand Master Skywalker
533	Granny Goodness
534	Grant Ward (MCU)
535	Graviton (MCU)
536	Gravity
537	Grayven
538	Great Evil Beast
539	Greedo
540	Green Arrow (Injustice)
541	Green Arrow
542	Green Goblin (2099)
543	Green Goblin II
544	Green Goblin III
545	Green Goblin IV
546	Green Goblin (SONY)
547	Green Lantern (Injustice)
548	Green Lantern (New 52)
549	Greenskyn Smashtroll
550	Grid
551	Griffin Turner
552	Grifter
553	Grim Reaper
554	Groot
555	Gru
556	Gypsy (CW)
557	Gypsy
558	Hammer
559	Hammerhead
560	Hancock
561	Happy Hogan
562	Harbinger
563	Harley Keener
564	Harley Quinn (Arkham)
565	Harley Quinn (New 52)
566	Harley Quinn
567	Harrison Wells (CW)
568	Harry Osborn (Raimi Trilogy)
569	Harry Potter
570	Harumi
571	Harvey Bullock
572	Hashirama Senju
573	Havok (FOX)
574	Havok
575	Hawk (Titans)
576	Hawkeye II
577	Hawkgirl (CW)
578	Hawkgirl
579	Hawkman (CW)
580	Hawkwoman III
581	Hawkwoman
582	Heart Of The Monster Hulk
583	Hearthstone
584	Heat Wave (CW)
585	Heat Wave
586	Heavy Metal
587	Heimdall (MCU)
588	Hela
589	Hellboy (Injustice 2)
590	Hellboy
591	Hellcat
592	Hellfire (MCU)
593	Hellstorm
594	Hepzibah
595	Herald
596	Hermione Granger
597	Highfather
598	Hinata Hyūga
599	Hiruzen Sarutobi
600	Hit-Girl
601	Hit-Monkey
602	Hive (MCU)
603	HK-47
604	Hogun (MCU)
605	Hollow
606	Homelander
607	Honey Badger
608	Hope Summers
609	Hourman
610	Howard The Duck
611	Hugo Strange
612	Hulk (2003)
613	Hulk 2099
614	Hulk Earth-5901
615	Hulk (Stark Gauntlet) (MCU)
616	Hulk
617	Hulkling
618	Human Target
619	Human Torch (FOX)
620	Human Torch II
621	Huntress (CW)
622	Huntress (Injustice)
623	Hush
624	Husk
625	Hybrid
626	Hydro-Man
627	Iceman (FOX)
628	Iceman
629	Icon
630	Immortal Hulk
631	Imperiex
632	Impossible Man
633	Incredible Hulk (Universal)
634	Incubus (DCEU)
635	Indiana Jones
636	Indigo
637	Infernal Hulk
638	Infinity Man
639	Ink
640	Ino Yamanaka
641	Invincible
642	Invisible Woman (FOX)
643	Iron Baron
644	Iron Destroyer
645	Iron Fist (MCU)
646	Iron Fist
647	Iron Man (MCU)
648	Iron Man (Model 45)
649	Iron Man (Sorceror Supreme)
650	Iron Man (Thorbuster)
651	Iron Man (Wild West)
652	Iron Man
653	Iron Monger (MCU)
654	Iron Monger
655	IT
656	Itachi Uchiha
657	J. Jonah Jameson
658	Jack Bauer
659	Jack Frost
660	Jack-Jack
661	Jack Kirby
662	Jack of Hearts
663	Jack Sparrow
664	Jacob Frye
665	Jaime Lannister
666	James Bond (Craig)
667	James Gordon
668	James T. Kirk
669	Jane Foster (MCU)
670	Jango Fett
671	Jar Jar Binks
672	Jay (The LEGO Ninjago Movie)
673	Jay
674	Jean Grey
675	Jemma Simmons (MCU)
676	Jennifer Kale
677	Jerome Valeska
678	Jesse Custer
679	Jesse Quick (CW)
680	Jesse Quick
681	Jessica Jones
682	Jestro
683	Jigsaw (MCU)
684	Jim Powell
685	Jimmy Neutron
686	Jiraiya
687	JJ Powell
688	Joe Wilson (CW)
689	Johann Krauss
690	John Constantine (Power Of Shazam)
691	John Constantine
692	John Pilgrim (MCU)
693	John Wraith
694	Johnny Quick
695	Joker (Gotham)
696	Joker
697	Jolt
698	Jonah Hex (CW)
699	Jonah Hex
700	Jor-El
701	Josiah Power
702	Jubilee
703	Juggernaut (FOX)
704	Juggernaut
705	Junkpile
706	Justice
707	Justin Hammer
708	Jyn Erso
709	K-2SO
710	Kabuto Yakushi
711	Kaecilius (MCU)
712	Kaguya Ōtsutsuki
713	Kai (The LEGO Ninjago Movie)
714	Kakashi Hatake
715	Kale
716	Kang
717	Kanto
718	Kapau
719	Kapau'rai
720	Karlof
721	Karnak (MCU)
722	Karnak
723	Katana (CW)
724	Katana (DCEU)
725	Katana
726	Kathryn Janeway
727	Kefla
728	Kelex
729	Kenshiro
730	Kevin 11
731	KGBeast
732	Khanjikhan
733	Kick-Ass
734	Kid Colt
735	Kid Flash (CW)
736	Kid Flash II
737	Kid Flash
738	Kilgrave (MCU)
739	Killer Bee
740	Killer Croc (DCEU)
741	Killer Croc
742	Killer Frost (CW)
743	Killer Frost
744	Killian (MCU)
745	Killmonger (MCU)
746	Killow
747	Kilowog
748	King Shark (CW)
749	King Shark
750	King Thanos
751	Kingpin (MCU)
752	Kingpin
753	Kisame
754	Klaw (MCU)
755	Klaw
756	Knockout
757	Koko (The LEGO Ninjago Movie)
758	Kool-Aid Man
759	Korg (MCU)
760	Kraglin (MCU)
761	Kratos
762	Kraven II
763	Kraven the Hunter
764	Kronos
765	Kruncha
766	Krux
767	Krypto
768	Kurse (MCU)
769	Kurse
770	Kylo Ren
771	Lady Blackhawk
772	Lady Bullseye
773	Lady Deadpool
774	Lady Deathstrike
775	Lady Shiva
776	Lagoon Boy
777	Laira
778	Lance Hunter (MCU)
779	Lantern Bleez
780	Lar Gand
781	Lashina
782	Laufey (MCU)
783	Laufey
784	Lauren Strucker (Fox)
785	Leader
786	Leech
787	Legion
788	Legolas
789	Leo Fitz (MCU)
790	Leo Valdez
791	Leonardo (TMNT 2012)
792	Lex Luthor (DCEU)
793	Lex Luthor (Injustice)
794	Lex Luthor
795	Life Entity
796	Light Lass
797	Lightning Lad
798	Lightning Lord
799	Lightray
800	Lightspeed
801	Link
802	Little Epic
803	Little Krishna
804	Littlefinger
805	Livewire (CW)
806	Livewire
807	Living Brain
808	Living Totem
809	Living Tribunal
810	Liz Sherman
811	Lizard
812	Lloyd (The LEGO Ninjago Movie)
813	Lloyd
814	Lobo
815	Lockjaw
816	Lodestone
817	Longshot
818	Lord Garmadon
819	Lord Of Cinder
820	Lord Voldemort
821	Lorelei
822	Lucifer (FOX)
823	Lucius Malfoy
824	Luke Cage
825	Luke Campbell
826	Luke Skywalker
827	Luna
828	Lyja
829	M
830	Mach-IV
831	Machine Man
832	Mad Harriet
833	Madame Xanadu
834	Madara Uchiha
835	Maestro Hulk
836	Magneto (FOX)
837	Magneto
838	Magog
839	Magus
840	Makkari
841	Malekith (MCU)
842	Malekith
843	Mammoth
844	Man-Bat
845	Man Of Miracles
846	Man-Thing
847	Man-Wolf
848	Mandarin
849	Mantis (MCU)
850	Mantis
851	Maria Hill (MCU)
852	Mario
853	Marrow
854	Martian Manhunter
855	Martinex
856	Marvel Girl
857	Master Brood
858	Master Chen
859	Master Chief
860	Master Hand
861	Match
862	Matt Parkman
863	Maui
864	Maverick
865	Maxima
866	Maximus (MCU)
867	Maxwell Lord
868	Maya Herrera
869	M'baku (MCU)
870	Medusa (MCU)
871	Melinda May (MCU)
872	Meltdown
873	Mephisto
874	Mera (New 52)
875	Mera
876	Mercy Graves
877	Merlin
878	Metallo
879	Metamorpho
880	Metron
881	Micah Sanders
882	Michael Demiurgos
883	Micro Lad
884	Might Guy
885	Mimic
886	Minato Namikaze
887	Mind Flayer
888	Minna Murray
889	Mirage
890	Mirror Master (CW)
891	Misako
892	Misfit
893	Miss Martian
894	Mistake
895	Mister Fantastic (FOX)
896	Mister Fantastic
897	Mister Freeze
898	Mister Miracle
899	Mister Mxyzptlk
900	Mister Sinister
901	Mister Terrific (CW)
902	Misty Knight (MCU)
903	Misty Knight
904	Mockingbird (MCU)
905	Mockingbird
906	MODOK
907	Mogo
908	Mohinder Suresh
909	Moloch
910	Molten Man
911	Mon-El (CW)
912	Monarch
913	Mongul The Elder
914	Mongul
915	Monica Dawson
916	Monstrox
917	Moon Knight
918	Moonstone
919	Morbius
920	Morlun
921	Morph
922	Morro
923	Morty Smith
924	Moses Magnum
925	Mr Incredible
926	Mr.Krabs
927	Ms. America
928	Ms Marvel II
929	Multiple Man
930	Music Meister (CW)
931	Mysterio
932	Mystique (FOX)
933	Mystique
934	Nadakhan
935	Nagato Uzumaki
936	Namor
937	Namora
938	Namorita
939	Naruto Uzumaki
940	Nathan Petrelli
941	Nebula (MCU)
942	Negasonic Teenage Warhead (FOX
943	Negasonic Teenage Warhead
944	Neji
945	Nekron
946	Nergal
947	Neron
948	Neuro
949	Nick Fury (MCU)
950	Nick Fury
951	Night King
952	Night Thrasher
953	Nightcrawler (FOX)
954	Nightcrawler
955	Nighthawk
956	Nightshade
957	Nightwing (Arkham)
958	Nightwing (New 52)
959	Niki Sanders
960	Nina Theroux
961	Nite Owl II
962	Nite Owl
963	Nobu (MCU)
964	Nomad (MCU)
965	Nora Darhk (CW)
966	Northstar
967	Nuckal
968	Nya (The LEGO Ninjago Movie)
969	Nya (Water Ninja)
970	Nyssa Al Ghul (CW)
971	Nyssa Raatko
972	Obito Uchiha
973	Ocean Master (DCEU)
974	Ocean Master
975	Offspring
976	Old King Thor
977	Old Man Logan (FOX)
978	Omac
979	Omega Red
980	Omega
981	Omni-Man
982	Omniscient
983	One-Above-All
984	One Punch Man
985	Onslaught
986	Oracle
987	Orochimaru
988	Overtkill
989	Owlman
990	Pandora
991	Parademon
992	Parasite (CW)
993	Parasite
994	Paul Blart
995	Peggy Carter (MCU)
996	Penance II
997	Penguin
998	Penny
999	Percy Jackson (FOX)
1000	Percy Jackson
1001	Peter Petrelli
1002	Phantom Girl
1003	Phantom Lady
1004	Phantom Rider
1005	Pied Piper (CW)
1006	Pinhead
1007	Piper McLean
1008	P.I.X.A.L.
1009	Plantman
1010	Plastic Man
1011	Plastique
1012	Platinum
1013	Poison Ivy (Arkham)
1014	Poison Ivy (New 52)
1015	Poison Ivy
1016	Polaris (Fox)
1017	Polaris
1018	Portal
1019	Power Girl (New 52)
1020	Power Girl
1021	Power Ring
1022	Powerboy
1023	Predator
1024	Preeminent
1025	Professor Dumbledore
1026	Professor Severus Snape
1027	Professor X (FOX)
1028	Professor X
1029	Professor Zoom
1030	Prometheus (CW)
1031	Proto-Goblin
1032	Proxima Midnight (MCU)
1033	Proxima Midnight
1034	Psimon
1035	Psylocke
1036	Puck
1037	Puma
1038	Punisher
1039	Purple Man
1040	Pyro (FOX)
1041	Pyro
1042	Pythor
1043	Quake (MCU)
1044	Quake
1045	Quantum
1046	Queen Hippolyta
1047	Question
1048	Qui-Gon Jinn
1049	Quicksilver
1050	Quill
1051	Rachel Pirzad
1052	Ragman (CW)
1053	Ragnarok
1054	Raiden
1055	Rainbow Rider
1056	Rambo
1057	Raphael (TMNT 2012)
1058	Ra's Al Ghul (CW)
1059	Ra's Al Ghul (Dark Knight)
1060	Ra's Al Ghul
1061	Raven (Titans)
1062	Rawhide Kid
1063	Ray
1064	Razor-Fist II
1065	Reactron
1066	Red Arrow
1067	Red Death
1068	Red Hood (New 52)
1069	Red Hulk (Ghost Rider) (Venom)
1070	Red Hulk
1071	Red Mist
1072	Red Robin
1073	Red Skull (MCU)
1074	Red Skull
1075	Red Sonja
1076	Red Tornado (CW)
1077	Red Tornado
1078	Red Wolf
1079	Redeemer II
1080	Redeemer III
1081	Reign
1082	Renata Soliz
1083	Resurrection Spawn
1084	Rev-9
1085	Reverse Flash (CW)
1086	Reverse Flash (New 52)
1087	Rey
1088	Rhino
1089	Rick Flag
1090	Rick Sanchez
1091	Rictor
1092	Riddler
1093	Riot (SONY)
1094	Rip Hunter
1095	Ripcord
1096	Robin II
1097	Robin III (Arkham)
1098	Robin III
1099	Robin (Titans)
1100	Robin V
1101	Robin VI
1102	Robin
1103	Robocop
1104	Robotman
1105	Rock Lee
1106	Rocket Raccoon (MCU)
1107	Rocket Raccoon
1108	Rocket
1109	Rogue (FOX)
1110	Rogue
1111	Ronan The Accuser (MCU)
1112	Ronin (MCU)
1113	Ronin (Ninjago)
1114	Ronin
1115	Rorschach
1116	Ruby Thursday
1117	Sabretooth (FOX)
1118	Sabretooth
1119	Sage
1120	Sai
1121	Saint Of Killers
1122	Sakura Haruno
1123	Sam Winchester
1124	Samukai
1125	Samurai Mech(Stone Army)
1126	Samurai X
1127	Sandman (SONY)
1128	Sandman
1129	Sarab (CW)
1130	Sasquatch
1131	Sasuke Uchiha
1132	Saturn Girl (CW)
1133	Savage Dragon
1134	Scarlet Spider II
1135	Scorpia
1136	Scorpion (injustice)
1137	Scorpion
1138	Screaming Mimi
1139	Sea King
1140	Sebastian Shaw (FOX)
1141	Selene
1142	Sensei Garmadon
1143	Sensei Yang
1144	Sentry
1145	Shade
1146	Shades (MCU)
1147	Shadow King
1148	Shadow Lass
1149	Shadow The Hedgehog (Pre-Wave)
1150	Shadowcat (FOX)
1151	Shadowcat
1152	Shang-Chi
1153	Shao Kahn
1154	Sharon Carter
1155	Shatterstar
1156	Shazam (DCEU)
1157	Shazam
1158	She-Hulk
1159	Sherlock Holmes
1160	Shikamaru
1161	Shin Godzilla
1162	Shisui Uchiha
1163	Shocker
1164	Shriek
1165	Shuri (MCU)
1166	Sif (MCU)
1167	Sif
1168	Silk Spectre II
1169	Silk Spectre
1170	Silk
1171	Silver Banshee (CW)
1172	Silver Banshee
1173	Silver Samurai (FOX)
1174	Silver Surfer
1175	Silverclaw
1176	Sinestro
1177	Siren II
1178	Sirius Black
1179	Siryn
1180	Skaar
1181	Skales Jr
1182	Skales
1183	Skalidor
1184	Skeletor
1185	Skids
1186	Slapstick
1187	Slenderman
1188	Snake-Eyes
1189	Snowbird
1190	Solid Snake
1191	Solomon Grundy
1192	Solomon Kane
1193	Solovar
1194	Songbird
1195	Sonic The Hedgehog
1196	Sonya Blade
1197	Soranik Natu
1198	Soundwave
1199	Space Ghost
1200	Spartan
1201	Spawn
1202	Spectre Oversoul
1203	Speedball
1204	Speedy
1205	Spider-Gwen
1206	Spider-Ham
1207	Spider-Man (Black) (Raimi)
1208	Spider-Man Noir
1209	Spider-Man (Raimi Trilogy)
1210	Spider-Man (Ultimate)
1211	Spider-Woman IV
1212	Spider-Woman
1213	Spike
1214	Spitfire
1215	Splice
1216	Spock
1217	Sportsmaster
1218	Spyke
1219	Stan Pines
1220	Star-Lord (Celestial Power MCU)
1221	Star-Lord
1222	Star Sapphire
1223	Stardust
1224	Starfire (Titans)
1225	Starfire
1226	Stargirl
1227	Starling
1228	Starro The Star Conqueror
1229	Static
1230	Steel (1997)
1231	Steel Serpent (MCU)
1232	Steel Serpent
1233	Steel
1234	Stephanie Powell
1235	Steppenwolf
1236	Steve Trevor
1237	Stevie Hunter
1238	Stewie
1239	Stick (MCU)
1240	Stompa
1241	Storm (FOX)
1242	Storm Shadow
1243	Storm
1244	Strange Visitor Superman
1245	Strong Guy
1246	Sunspot
1247	Super Adaptoid
1248	Super Greg
1249	Superboy-Prime
1250	Supergirl (Injustice)
1251	Supergirl
1252	Superking
1253	Superman (2006)
1254	Superman (Post-Crisis)
1255	Superman (Smallville)
1256	Swamp Thing (New 52)
1257	Swamp Thing
1258	Swarm
1259	Sylar
1260	Symbiote Wolverine
1261	Synch
1262	T-1000
1263	T-800
1264	T-850
1265	T-X
1266	Talia Al Ghul (CW)
1267	Taserface
1268	Taskmaster
1269	Tempest
1270	Thanos
1271	The Batman Of Zur-En-Arrh
1272	The Beyonder (Earth-1298)
1273	The Boy
1274	The Cape
1275	The Comedian
1276	The Crow
1277	The Executioner (MCU)
1278	The False Mandarin
1279	The Flash (CW)
1280	The Flash
1281	The Golden Master
1282	The Goon
1283	The Grandmaster (MCU)
1284	The Great Devourer
1285	The Green Hornet
1286	The Keeper
1287	The Lizard (SONY)
1288	The Lobster
1289	The Lord Of Light
1290	The One Below All
1291	The One
1292	The Overlord (Garmadon)
1293	The Overlord
1294	The Presence
1295	The Prince
1296	The Punisher (War Zone)
1297	The Question
1298	The Ray (CW)
1299	The Rhino (SONY)
1300	The Rival (CW)
1301	The Rumor
1302	The Scarecrow (Gotham)
1303	The Shocker (MCU)
1304	The Smiling Knight
1305	The Thing (FOX)
1306	The Thinker (CW)
1307	The Upgrade
1308	The Wasp
1309	Thinker
1310	Thor Girl
1311	Thor (Odin Force)
1312	Throg
1313	Thunderbird III
1314	Thunderbird
1315	Thunderstrike
1316	Thundra
1317	Tigra
1318	Tinkerer
1319	Titan
1320	Titania
1321	Toad (FOX)
1322	Toad
1323	Tobias Church (CW)
1324	Tobias Whale (CW)
1325	Tobirama Senju
1326	Tom Corsi
1327	Tomar-Re
1328	Toxin
1329	Toymaster
1330	Tracy Strauss
1331	Trickster (CW)
1332	Trickster II
1333	Trickster
1334	Trigon
1335	Triplicate Girl
1336	Triton
1337	True Form Oblivion
1338	Tsunade
1339	Turbo II
1340	Two-Face
1341	Typhoid Mary (MCU)
1342	Typhoid Mary
1343	Uatu the Guardian
1344	Ubu
1345	Ultimo
1346	Ultragirl
1347	Ultron (Final Form)
1348	Unicron
1349	Union Jack
1350	Ursa Major
1351	Utgard-Loki
1352	V
1353	Vagabond
1354	Valerie Cooper
1355	Valerie Hart
1356	Valkyrie (MCU)
1357	Valkyrie
1358	Vampire Batman
1359	Vandal Savage
1360	Vanisher
1361	Vegeta
1362	Venom 2099
1363	Venom II
1364	Venom III
1365	Venom
1366	Venompool
1367	Ventriloquist
1368	Vergil
1369	Vibe (CW)
1370	Vibe
1371	Vicki Vale
1372	Vigilante (CW)
